# KLIBS INFO
#  > KLibs Commit: f3114ba150b1539d5e7d18ebe5fe32efa02ee24e
#
# EXPERIMENT SETTINGS
#  > Trials Per Block: 60
#  > Blocks Per Experiment: 8
#
# SYSTEM INFO
#  > Operating System: OS X 10.11.6
#  > Python Version: 2.7.12
#
# DISPLAY INFO
#  > Screen Size: 24" diagonal
#  > Resolution: 2560x1440 @ 60Hz
#  > View Distance: 57 cm

participant	gender	age	handedness	random_seed	block_num	trial_num	search_type	stimulus_type	present_absent	set_size	target_distractor	distractor_distractor	target_time	target_onset	spatial_response	spatial_rt	temporal_response	temporal_rt
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	6	10	time	LINE	absent	NA	hetero	hetero	-1	NA	NA	NA	absent	4503.20190698
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	7	1	space	LINE	present	8	hetero	hetero	NA	NA	absent	2416.63231101	NA	NA
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	7	2	space	LINE	absent	12	hetero	hetero	NA	NA	absent	2760.96593402	NA	NA
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	7	3	space	LINE	present	12	hetero	hetero	NA	NA	present	2833.45746296	NA	NA
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	7	4	space	LINE	absent	16	hetero	hetero	NA	NA	absent	4828.24512298	NA	NA
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	7	5	space	LINE	absent	8	hetero	hetero	NA	NA	absent	1761.09704596	NA	NA
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	7	6	space	LINE	present	16	hetero	hetero	NA	NA	absent	4215.12710099	NA	NA
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	7	7	space	LINE	absent	12	hetero	hetero	NA	NA	absent	2717.03950298	NA	NA
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	7	8	space	LINE	absent	16	hetero	hetero	NA	NA	absent	2852.72367601	NA	NA
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	7	9	space	LINE	present	16	hetero	hetero	NA	NA	absent	2917.05329396	NA	NA
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	7	10	space	LINE	present	12	hetero	hetero	NA	NA	present	1305.165292	NA	NA
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	8	1	time	LINE	present	NA	homo	hetero	9	4596.82033547	NA	NA	present	1833.12766597
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	8	2	time	LINE	present	NA	homo	hetero	8	4416.89506978	NA	NA	present	1820.79575496
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	8	3	time	LINE	present	NA	homo	hetero	8	4432.59745868	NA	NA	present	1669.59935898
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	8	4	time	LINE	absent	NA	homo	hetero	-1	NA	NA	NA	present	2153.199672
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	8	5	time	LINE	absent	NA	homo	hetero	-1	NA	NA	NA	absent	4504.04189096
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	8	6	time	LINE	absent	NA	homo	hetero	-1	NA	NA	NA	absent	4504.158544
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	8	7	time	LINE	absent	NA	homo	hetero	-1	NA	NA	NA	absent	4503.22294398
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	8	8	time	LINE	present	NA	homo	hetero	9	4583.6932147	NA	NA	absent	1820.05352504
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	8	9	time	LINE	absent	NA	homo	hetero	-1	NA	NA	NA	present	2153.76326902
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	8	10	time	LINE	present	NA	homo	hetero	7	4250.14532122	NA	NA	present	1653.171557
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	9	1	space	LINE	present	16	homo	homo	NA	NA	present	926.712212968	NA	NA
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	9	2	space	LINE	present	8	homo	homo	NA	NA	present	876.786214008	NA	NA
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	9	3	space	LINE	absent	16	homo	homo	NA	NA	absent	1007.39105302	NA	NA
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	9	4	space	LINE	absent	12	homo	homo	NA	NA	absent	1278.87957002	NA	NA
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	9	5	space	LINE	absent	8	homo	homo	NA	NA	absent	860.222016985	NA	NA
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	9	6	space	LINE	present	12	homo	homo	NA	NA	present	1031.89244901	NA	NA
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	9	7	space	LINE	present	8	homo	homo	NA	NA	present	775.437638978	NA	NA
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	9	8	space	LINE	present	12	homo	homo	NA	NA	present	853.863237018	NA	NA
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	9	9	space	LINE	absent	16	homo	homo	NA	NA	absent	1138.283031	NA	NA
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	9	10	space	LINE	absent	12	homo	homo	NA	NA	absent	1173.14391001	NA	NA
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	9	11	space	LINE	absent	8	homo	homo	NA	NA	absent	749.455693993	NA	NA
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	9	12	space	LINE	present	16	homo	homo	NA	NA	present	669.358278974	NA	NA
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	9	13	space	LINE	present	8	homo	homo	NA	NA	present	595.030320983	NA	NA
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	9	14	space	LINE	present	12	homo	homo	NA	NA	present	626.212889969	NA	NA
